,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
96,80,residential 75,1.35,1.65,0.706666667,NA19,Colorado Plateau & Mountain Forests (NA19)
97,81,residential 75,1.35,1.65,0.706666667,NA19,Colorado Plateau & Mountain Forests (NA19)
98,82,commercial 75,27.0,33.0,0.8325,NA19,Colorado Plateau & Mountain Forests (NA19)
99,83,industrial 75,27.0,33.0,0.62,NA19,Colorado Plateau & Mountain Forests (NA19)
100,84,mixed use 75,1.35,1.65,0.769583333,NA19,Colorado Plateau & Mountain Forests (NA19)
101,85,mixed use 75,1.35,1.65,0.769583333,NA19,Colorado Plateau & Mountain Forests (NA19)
102,86,commercial 75,27.0,33.0,0.8325,NA19,Colorado Plateau & Mountain Forests (NA19)
103,88,commercial 100,36.0,44.0,0.8325,NA19,Colorado Plateau & Mountain Forests (NA19)
