,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
56,80,residential 75,1.35,1.65,0.706666667,NA25,Southeast Savannas & Riparian Forests (NA25)
57,81,residential 75,1.35,1.65,0.706666667,NA25,Southeast Savannas & Riparian Forests (NA25)
58,82,commercial 75,27.0,33.0,0.8325,NA25,Southeast Savannas & Riparian Forests (NA25)
59,83,industrial 75,27.0,33.0,0.62,NA25,Southeast Savannas & Riparian Forests (NA25)
60,84,mixed use 75,1.35,1.65,0.769583333,NA25,Southeast Savannas & Riparian Forests (NA25)
61,85,mixed use 75,1.35,1.65,0.769583333,NA25,Southeast Savannas & Riparian Forests (NA25)
62,86,commercial 75,27.0,33.0,0.8325,NA25,Southeast Savannas & Riparian Forests (NA25)
63,88,commercial 100,36.0,44.0,0.8325,NA25,Southeast Savannas & Riparian Forests (NA25)
