,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
72,80,residential 75,1.35,1.65,0.706666667,NA20,Southern Prairie Mixed Grasslands (NA20)
73,81,residential 75,1.35,1.65,0.706666667,NA20,Southern Prairie Mixed Grasslands (NA20)
74,82,commercial 75,27.0,33.0,0.8325,NA20,Southern Prairie Mixed Grasslands (NA20)
75,83,industrial 75,27.0,33.0,0.62,NA20,Southern Prairie Mixed Grasslands (NA20)
76,84,mixed use 75,1.35,1.65,0.769583333,NA20,Southern Prairie Mixed Grasslands (NA20)
77,85,mixed use 75,1.35,1.65,0.769583333,NA20,Southern Prairie Mixed Grasslands (NA20)
78,86,commercial 75,27.0,33.0,0.8325,NA20,Southern Prairie Mixed Grasslands (NA20)
79,88,commercial 100,36.0,44.0,0.8325,NA20,Southern Prairie Mixed Grasslands (NA20)
