,lucode,lulc_name,nesting_all_availability_index,floral_resources_annual_index,notes,bioregion,bio_desc
119,0,Background,0.0,0.0,,NA25,Southeast Savannas & Riparian Forests (NA25)
120,11,Open Water,0.0,0.0,,NA25,Southeast Savannas & Riparian Forests (NA25)
121,12,Perennial Ice/Snow,0.0,0.0,,NA25,Southeast Savannas & Riparian Forests (NA25)
122,21,"Developed, Open Space",0.323799159,0.488612477,,NA25,Southeast Savannas & Riparian Forests (NA25)
123,22,"Developed, Low Intensity",0.290735164,0.536726367,,NA25,Southeast Savannas & Riparian Forests (NA25)
124,23,"Developed, Medium Intensity",0.171655787,0.439643198,,NA25,Southeast Savannas & Riparian Forests (NA25)
125,24,"Developed, High Intensity",0.092345213,0.342894466,,NA25,Southeast Savannas & Riparian Forests (NA25)
126,31,Barren Land,0.213039209,0.253280228,,NA25,Southeast Savannas & Riparian Forests (NA25)
127,41,Deciduous Forest,0.551721758,0.530005956,,NA25,Southeast Savannas & Riparian Forests (NA25)
128,42,Evergreen Forest,0.43861668,0.415253678,,NA25,Southeast Savannas & Riparian Forests (NA25)
129,43,Mixed Forest,0.676985046,0.482223419,,NA25,Southeast Savannas & Riparian Forests (NA25)
130,52,Shrub/Scrub,0.719726597,0.560492743,,NA25,Southeast Savannas & Riparian Forests (NA25)
131,71,Herbaceuous,0.383345494,0.450428722,,NA25,Southeast Savannas & Riparian Forests (NA25)
132,81,Hay/Pasture,0.383345494,0.450428722,Averaged Corn and Soybeans,NA25,Southeast Savannas & Riparian Forests (NA25)
133,82,Cultivated Crops,0.157212261,0.212910104,,NA25,Southeast Savannas & Riparian Forests (NA25)
134,90,Woody Wetlands,0.221259249,0.513648933,,NA25,Southeast Savannas & Riparian Forests (NA25)
135,95,Emergent Herbaceuous Wetlands,0.15601586,0.47352604,,NA25,Southeast Savannas & Riparian Forests (NA25)
