,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
112,80,residential 75,1.35,1.65,0.706666667,NA17,Columbia Plateau & Blue Mountains (NA17)
113,81,residential 75,1.35,1.65,0.706666667,NA17,Columbia Plateau & Blue Mountains (NA17)
114,82,commercial 75,27.0,33.0,0.8325,NA17,Columbia Plateau & Blue Mountains (NA17)
115,83,industrial 75,27.0,33.0,0.62,NA17,Columbia Plateau & Blue Mountains (NA17)
116,84,mixed use 75,1.35,1.65,0.769583333,NA17,Columbia Plateau & Blue Mountains (NA17)
117,85,mixed use 75,1.35,1.65,0.769583333,NA17,Columbia Plateau & Blue Mountains (NA17)
118,86,commercial 75,27.0,33.0,0.8325,NA17,Columbia Plateau & Blue Mountains (NA17)
119,88,commercial 100,36.0,44.0,0.8325,NA17,Columbia Plateau & Blue Mountains (NA17)
