,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
104,80,residential 75,1.35,1.65,0.706666667,NA21,Midwestern Tallgrass Prairie & Forest Transition (NA21)
105,81,residential 75,1.35,1.65,0.706666667,NA21,Midwestern Tallgrass Prairie & Forest Transition (NA21)
106,82,commercial 75,27.0,33.0,0.8325,NA21,Midwestern Tallgrass Prairie & Forest Transition (NA21)
107,83,industrial 75,27.0,33.0,0.62,NA21,Midwestern Tallgrass Prairie & Forest Transition (NA21)
108,84,mixed use 75,1.35,1.65,0.769583333,NA21,Midwestern Tallgrass Prairie & Forest Transition (NA21)
109,85,mixed use 75,1.35,1.65,0.769583333,NA21,Midwestern Tallgrass Prairie & Forest Transition (NA21)
110,86,commercial 75,27.0,33.0,0.8325,NA21,Midwestern Tallgrass Prairie & Forest Transition (NA21)
111,88,commercial 100,36.0,44.0,0.8325,NA21,Midwestern Tallgrass Prairie & Forest Transition (NA21)
