,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
144,80,residential 75,1.35,1.65,0.706666667,NA12,Northern Prairie & Aspen Forests (NA12)
145,81,residential 75,1.35,1.65,0.706666667,NA12,Northern Prairie & Aspen Forests (NA12)
146,82,commercial 75,27.0,33.0,0.8325,NA12,Northern Prairie & Aspen Forests (NA12)
147,83,industrial 75,27.0,33.0,0.62,NA12,Northern Prairie & Aspen Forests (NA12)
148,84,mixed use 75,1.35,1.65,0.769583333,NA12,Northern Prairie & Aspen Forests (NA12)
149,85,mixed use 75,1.35,1.65,0.769583333,NA12,Northern Prairie & Aspen Forests (NA12)
150,86,commercial 75,27.0,33.0,0.8325,NA12,Northern Prairie & Aspen Forests (NA12)
151,88,commercial 100,36.0,44.0,0.8325,NA12,Northern Prairie & Aspen Forests (NA12)
