,lucode,lulc_name,nesting_all_availability_index,floral_resources_annual_index,notes,bioregion,bio_desc
34,0,Background,0.0,0.0,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
35,11,Open Water,0.0,0.0,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
36,12,Perennial Ice/Snow,0.0,0.0,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
37,21,"Developed, Open Space",0.323799159,0.488612477,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
38,22,"Developed, Low Intensity",0.290735164,0.536726367,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
39,23,"Developed, Medium Intensity",0.171655787,0.439643198,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
40,24,"Developed, High Intensity",0.092345213,0.342894466,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
41,31,Barren Land,0.213039209,0.253280228,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
42,41,Deciduous Forest,0.551721758,0.530005956,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
43,42,Evergreen Forest,0.43861668,0.415253678,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
44,43,Mixed Forest,0.676985046,0.482223419,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
45,52,Shrub/Scrub,0.719726597,0.560492743,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
46,71,Herbaceuous,0.383345494,0.450428722,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
47,81,Hay/Pasture,0.383345494,0.450428722,Averaged Corn and Soybeans,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
48,82,Cultivated Crops,0.157212261,0.212910104,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
49,90,Woody Wetlands,0.221259249,0.513648933,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
50,95,Emergent Herbaceuous Wetlands,0.15601586,0.47352604,,NA29,Sierra Madre Forests & Mexican Drylands (NA29)
