,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
40,80,residential 75,1.35,1.65,0.706666667,NA22,Ozarks Mixed Forests (NA22)
41,81,residential 75,1.35,1.65,0.706666667,NA22,Ozarks Mixed Forests (NA22)
42,82,commercial 75,27.0,33.0,0.8325,NA22,Ozarks Mixed Forests (NA22)
43,83,industrial 75,27.0,33.0,0.62,NA22,Ozarks Mixed Forests (NA22)
44,84,mixed use 75,1.35,1.65,0.769583333,NA22,Ozarks Mixed Forests (NA22)
45,85,mixed use 75,1.35,1.65,0.769583333,NA22,Ozarks Mixed Forests (NA22)
46,86,commercial 75,27.0,33.0,0.8325,NA22,Ozarks Mixed Forests (NA22)
47,88,commercial 100,36.0,44.0,0.8325,NA22,Ozarks Mixed Forests (NA22)
