,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
152,80,residential 75,1.35,1.65,0.706666667,NA15,Pacific Northwest Coastal Forests (NA15)
153,81,residential 75,1.35,1.65,0.706666667,NA15,Pacific Northwest Coastal Forests (NA15)
154,82,commercial 75,27.0,33.0,0.8325,NA15,Pacific Northwest Coastal Forests (NA15)
155,83,industrial 75,27.0,33.0,0.62,NA15,Pacific Northwest Coastal Forests (NA15)
156,84,mixed use 75,1.35,1.65,0.769583333,NA15,Pacific Northwest Coastal Forests (NA15)
157,85,mixed use 75,1.35,1.65,0.769583333,NA15,Pacific Northwest Coastal Forests (NA15)
158,86,commercial 75,27.0,33.0,0.8325,NA15,Pacific Northwest Coastal Forests (NA15)
159,88,commercial 100,36.0,44.0,0.8325,NA15,Pacific Northwest Coastal Forests (NA15)
