,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
8,80,residential 75,1.35,1.65,0.706666667,NA27,Western Gulf Coastal Grasslands (NA27)
9,81,residential 75,1.35,1.65,0.706666667,NA27,Western Gulf Coastal Grasslands (NA27)
10,82,commercial 75,27.0,33.0,0.8325,NA27,Western Gulf Coastal Grasslands (NA27)
11,83,industrial 75,27.0,33.0,0.62,NA27,Western Gulf Coastal Grasslands (NA27)
12,84,mixed use 75,1.35,1.65,0.769583333,NA27,Western Gulf Coastal Grasslands (NA27)
13,85,mixed use 75,1.35,1.65,0.769583333,NA27,Western Gulf Coastal Grasslands (NA27)
14,86,commercial 75,27.0,33.0,0.8325,NA27,Western Gulf Coastal Grasslands (NA27)
15,88,commercial 100,36.0,44.0,0.8325,NA27,Western Gulf Coastal Grasslands (NA27)
