,lucode,building type,kwh_per_cdd,kwh_per_hdd,cost_per_kwh,bioregion,bio_desc
160,80,residential 75,1.35,1.65,0.706666667,NA13,Greater Rockies & Mountain Forests (NA13)
161,81,residential 75,1.35,1.65,0.706666667,NA13,Greater Rockies & Mountain Forests (NA13)
162,82,commercial 75,27.0,33.0,0.8325,NA13,Greater Rockies & Mountain Forests (NA13)
163,83,industrial 75,27.0,33.0,0.62,NA13,Greater Rockies & Mountain Forests (NA13)
164,84,mixed use 75,1.35,1.65,0.769583333,NA13,Greater Rockies & Mountain Forests (NA13)
165,85,mixed use 75,1.35,1.65,0.769583333,NA13,Greater Rockies & Mountain Forests (NA13)
166,86,commercial 75,27.0,33.0,0.8325,NA13,Greater Rockies & Mountain Forests (NA13)
167,88,commercial 100,36.0,44.0,0.8325,NA13,Greater Rockies & Mountain Forests (NA13)
